kind,source,target,topic_type
subscribe,/mavros/local_position/pose,/vision_pose_tf,geometry_msgs/PoseStamped
subscribe,/mavros/local_position/pose,/visual_delivery_audit,geometry_msgs/PoseStamped
subscribe,/mavros/manual_control/send,/mavros,mavros_msgs/ManualControl
subscribe,/mavros/mocap/pose,/mavros,geometry_msgs/PoseStamped
subscribe,/mavros/mount_control/command,/mavros,mavros_msgs/MountControl
subscribe,/mavros/obstacle/send,/mavros,sensor_msgs/LaserScan
subscribe,/mavros/odometry/out,/mavros,nav_msgs/Odometry
subscribe,/mavros/onboard_computer/status,/mavros,mavros_msgs/OnboardComputerStatus
subscribe,/mavros/play_tune,/mavros,mavros_msgs/PlayTuneV2
subscribe,/mavros/px4flow/raw/send,/mavros,mavros_msgs/OpticalFlowRad
subscribe,/mavros/rc/override,/mavros,mavros_msgs/OverrideRCIn
subscribe,/mavros/setpoint_accel/accel,/mavros,geometry_msgs/Vector3Stamped
subscribe,/mavros/setpoint_attitude/cmd_vel,/mavros,geometry_msgs/TwistStamped
subscribe,/mavros/setpoint_attitude/thrust,/mavros,mavros_msgs/Thrust
subscribe,/mavros/setpoint_position/global,/mavros,geographic_msgs/GeoPoseStamped
subscribe,/mavros/setpoint_position/global_to_local,/mavros,geographic_msgs/GeoPoseStamped
subscribe,/mavros/setpoint_position/local,/mavros,geometry_msgs/PoseStamped
subscribe,/mavros/setpoint_raw/attitude,/mavros,mavros_msgs/AttitudeTarget
subscribe,/mavros/setpoint_raw/global,/mavros,mavros_msgs/GlobalPositionTarget
subscribe,/mavros/setpoint_raw/local,/mavros,mavros_msgs/PositionTarget
subscribe,/mavros/setpoint_trajectory/local,/mavros,trajectory_msgs/MultiDOFJointTrajectory
subscribe,/mavros/setpoint_velocity/cmd_vel,/mavros,geometry_msgs/TwistStamped
subscribe,/mavros/setpoint_velocity/cmd_vel_unstamped,/mavros,geometry_msgs/Twist
subscribe,/mavros/state,/navigation_vcl06_assertion,mavros_msgs/State
subscribe,/mavros/state,/uav_arming_node,mavros_msgs/State
subscribe,/mavros/statustext/send,/mavros,mavros_msgs/StatusText
subscribe,/mavros/trajectory/generated,/mavros,mavros_msgs/Trajectory
subscribe,/mavros/trajectory/path,/mavros,nav_msgs/Path
subscribe,/mavros/tunnel/in,/mavros,mavros_msgs/Tunnel
subscribe,/mavros/vision_pose/pose,/mavros,geometry_msgs/PoseStamped
subscribe,/mavros/vision_pose/pose_cov,/mavros,geometry_msgs/PoseWithCovarianceStamped
subscribe,/mavros/vision_speed/speed_twist_cov,/mavros,geometry_msgs/TwistWithCovarianceStamped
subscribe,/mission/command,/navigation_vcl06_assertion,patrol_control/MissionCommand
subscribe,/mission/command,/patrol_control,patrol_control/MissionCommand
subscribe,/mission/control_ready,/navigation_mission_start_gate,std_msgs/Bool
subscribe,/mission/gazebo_contact_status,/navigation_vcl06_assertion,std_msgs/String
subscribe,/mission/planner_anchor_status,/navigation_mission_start_gate,std_msgs/String
subscribe,/mission/planner_anchor_status,/navigation_vcl06_assertion,std_msgs/String
subscribe,/mission/random_field_status,/navigation_mission_start_gate,std_msgs/String
subscribe,/mission/random_field_status,/navigation_vcl06_assertion,std_msgs/String
subscribe,/mission/release_commitment_evidence,/visual_delivery_audit,uav_vision/ReleaseEvidence
subscribe,/mission/release_permission,/guarded_servo_proxy,uav_mission/ReleasePermission
subscribe,/mission/release_permission,/visual_delivery_audit,uav_mission/ReleasePermission
subscribe,/mission/release_permission_active,/patrol_control,std_msgs/Bool
subscribe,/mission/release_result,/navigation/planner_bridge,uav_mission/ReleaseResult
subscribe,/mission/release_result,/release_permission_arbiter,uav_mission/ReleaseResult
subscribe,/mission/release_result,/visual_delivery_audit,uav_mission/ReleaseResult
subscribe,/mission/uav_contacts_raw,/gazebo_contact_monitor,gazebo_msgs/ContactsState
subscribe,/move_base_simple/goal,/waypoint_generator,geometry_msgs/PoseStamped
subscribe,/navigation/mission_command_raw,/navigation/planner_bridge,uav_mission/NavigationDecision
subscribe,/navigation/mission_command_raw,/navigation_vcl06_assertion,uav_mission/NavigationDecision
subscribe,/navigation/mission_result,/navigation/mission_manager,uav_mission/NavigationResult
subscribe,/navigation/mission_result,/navigation_vcl06_assertion,uav_mission/NavigationResult
subscribe,/navigation/mission_start_gate_status,/navigation_vcl06_assertion,std_msgs/String
subscribe,/navigation/mission_status,/navigation_mission_start_gate,std_msgs/String
subscribe,/navigation/mission_status,/navigation_vcl06_assertion,std_msgs/String
subscribe,/navigation/planner_bridge_status,/navigation_vcl06_assertion,std_msgs/String
subscribe,/pcl_render_node/camera_pose,/fast_planner_node,geometry_msgs/PoseStamped
subscribe,/pcl_render_node/depth,/fast_planner_node,sensor_msgs/Image
subscribe,/planning/bspline,/traj_server,plan_manage/Bspline
subscribe,/planning/goal_status,/navigation/planner_bridge,plan_manage/PlannerStatus
subscribe,/planning/new,/traj_server,std_msgs/Empty
subscribe,/planning/replan,/traj_server,std_msgs/Empty
subscribe,/rosout,/rosout,rosgraph_msgs/Log
subscribe,/save_map,/freedom,std_msgs/Empty
subscribe,/servo/complete,/patrol_control,std_msgs/Bool
subscribe,/tf,/freedom,tf2_msgs/TFMessage
subscribe,/tf,/mavros,tf2_msgs/TFMessage
subscribe,/tf,/target_map_projector,tf2_msgs/TFMessage
subscribe,/tf_static,/freedom,tf2_msgs/TFMessage
subscribe,/tf_static,/mavros,tf2_msgs/TFMessage
subscribe,/tf_static,/target_map_projector,tf2_msgs/TFMessage
subscribe,/traj_start_trigger,/waypoint_generator,geometry_msgs/PoseStamped
subscribe,/uav_mission/mock_raw_servo_calls,/visual_delivery_audit,std_msgs/UInt8
subscribe,/uav_vision/align_mode,/detection_fusion,std_msgs/String
subscribe,/uav_vision/align_mode,/drop_aligner,std_msgs/String
