topic,type,publishers,subscribers
/rosout,rosgraph_msgs/Log,/circle_detector;/cross_detector;/detection_fusion;/downward_camera_extrinsic;/drop_aligner;/fast_planner_node;/freedom;/gazebo;/gazebo_contact_monitor;/guarded_servo_proxy;/landing_detector;/laserMapping;/mavros;/mock_raw_servo_server;/navigation/mission_manager;/navigation/planner_bridge;/navigation_mission_start_gate;/navigation_vcl06_assertion;/patrol_control;/planner_anchor_spawner;/random_field_spawner;/release_permission_arbiter;/static_pointcloud_viz;/target_detector;/target_map_projector;/target_memory;/target_refiner;/traj_server;/uav_arming_node;/vision_pose_tf;/visual_delivery_audit;/waypoint_generator,/rosout
/rosout_agg,rosgraph_msgs/Log,/rosout,
/save_map,std_msgs/Empty,,/freedom
/sdf_map/depth_cloud,sensor_msgs/PointCloud2,/fast_planner_node,
/sdf_map/esdf,sensor_msgs/PointCloud2,/fast_planner_node,
/sdf_map/occupancy,sensor_msgs/PointCloud2,/fast_planner_node,
/sdf_map/occupancy_inflate,sensor_msgs/PointCloud2,/fast_planner_node,
/sdf_map/unknown,sensor_msgs/PointCloud2,/fast_planner_node,
/sdf_map/update_range,visualization_msgs/Marker,/fast_planner_node,
/servo/complete,std_msgs/Bool,,/patrol_control
/tf,tf2_msgs/TFMessage,/gazebo;/laserMapping;/mavros;/vision_pose_tf,/freedom;/mavros;/target_map_projector
/tf_static,tf2_msgs/TFMessage,/downward_camera_extrinsic;/mavros,/freedom;/mavros;/target_map_projector
/traj_start_trigger,geometry_msgs/PoseStamped,,/waypoint_generator
/uav_mission/mock_raw_servo_calls,std_msgs/UInt8,/mock_raw_servo_server,/visual_delivery_audit
/uav_vision/align_mode,std_msgs/String,/patrol_control,/detection_fusion;/drop_aligner;/landing_detector;/navigation/planner_bridge;/navigation_vcl06_assertion;/release_permission_arbiter;/target_memory;/visual_delivery_audit
/uav_vision/alignment_target_context,uav_vision/AlignmentTargetContext,/navigation/planner_bridge,/drop_aligner
/uav_vision/circle_debug,sensor_msgs/Image,/circle_detector,
/uav_vision/cross_debug,sensor_msgs/Image,/cross_detector,
/uav_vision/debug_image,sensor_msgs/Image,/cross_detector;/landing_detector,
/uav_vision/detections,uav_vision/TargetDetectionArray,/circle_detector;/cross_detector;/landing_detector;/target_detector,/detection_fusion
/uav_vision/detections_mapped,uav_vision/TargetDetectionArray,/target_map_projector,/navigation_vcl06_assertion;/patrol_control;/target_memory
/uav_vision/detections_refined,uav_vision/TargetDetectionArray,/target_refiner,/target_map_projector
/uav_vision/detections_resolved,uav_vision/TargetDetectionArray,/detection_fusion,/target_refiner
/uav_vision/drop_offset,uav_vision/DropOffset,/drop_aligner,/patrol_control
/uav_vision/drop_ready,uav_vision/DropReady,/drop_aligner,/patrol_control
/uav_vision/perf,diagnostic_msgs/DiagnosticArray,/target_detector,
/uav_vision/release_evidence,uav_vision/ReleaseEvidence,/drop_aligner,/visual_delivery_audit
/uav_vision/release_evidence_context,uav_vision/ReleaseEvidenceContext,/drop_aligner,/navigation/planner_bridge;/release_permission_arbiter;/visual_delivery_audit
/uav_vision/selected_target,uav_vision/TargetCandidate,/target_memory,/drop_aligner;/navigation_vcl06_assertion;/visual_delivery_audit
/uav_vision/targets,uav_vision/TargetCandidateArray,/target_memory,/drop_aligner;/navigation/mission_manager;/navigation/planner_bridge
/waypoint_generator/waypoints,nav_msgs/Path,/waypoint_generator,
/waypoint_generator/waypoints_vis,geometry_msgs/PoseArray,/waypoint_generator,
